address,price,num_units,url,gross_income,municipal_tax,school_tax,scraped_at
,2499000.0,5,https://www.centris.ca/fr/quintuplex~a-vendre~montreal-le-plateau-mont-royal/27708192,138000.0,15426.0,1897.0,2026-02-21 07:14
,2299000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-mercier-hochelaga-maisonneuve/28416546,151320.0,10882.0,1196.0,2026-02-21 07:14
,1549000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-le-sud-ouest/19632866,81300.0,6901.0,871.0,2026-02-21 07:14
,2099000.0,5,https://www.centris.ca/fr/quintuplex~a-vendre~montreal-mercier-hochelaga-maisonneuve/17223586,117300.0,6364.0,211.0,2026-02-21 07:14
,1349000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-villeray-saint-michel-parc-extension/10420709,69000.0,4180.0,497.0,2026-02-21 07:14
,1900000.0,10,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-riviere-des-prairies-pointe-aux-trembles/27337773,107196.0,11418.0,1325.0,2026-02-21 07:14
,1670000.0,4,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-rosemont-la-petite-patrie/16698868,119367.0,11214.0,646.0,2026-02-21 07:14
,1350000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-cote-des-neiges-notre-dame-de-grace/13745929,6109.0,6851.0,904.0,2026-02-21 07:14
,2650000.0,8,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-le-plateau-mont-royal/23100211,129540.0,12117.0,1567.0,2026-02-21 07:14
,5250000.0,15,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-cote-des-neiges-notre-dame-de-grace/12930518,312480.0,11623.0,1183.0,2026-02-21 07:14
,1570000.0,5,https://www.centris.ca/fr/quintuplex~a-vendre~montreal-ville-marie/9008268,85320.0,4342.0,556.0,2026-02-21 07:14
,1550000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-verdun-ile-des-soeurs/18461164,102840.0,8082.0,993.0,2026-02-21 07:14
,1460000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-villeray-saint-michel-parc-extension/13435777,72516.0,6869.0,808.0,2026-02-21 07:14
,1798000.0,5,https://www.centris.ca/fr/quintuplex~a-vendre~montreal-mercier-hochelaga-maisonneuve/23290908,93180.0,8204.0,980.0,2026-02-21 07:14
,1700000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-rosemont-la-petite-patrie/22103818,95592.0,9022.0,1147.0,2026-02-21 07:14
,1795000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-le-plateau-mont-royal/15740348,95160.0,,,2026-02-21 07:14
,1390000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-ville-marie/22096628,93360.0,7494.0,940.0,2026-02-21 07:14
,2145000.0,7,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-ville-marie/26654846,135480.0,10154.0,1352.0,2026-02-21 07:14
,1189000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-le-plateau-mont-royal/28967635,74616.0,6730.0,835.0,2026-02-21 07:14
,1695000.0,6,https://www.centris.ca/fr/multifamilial~a-vendre~montreal-mercier-hochelaga-maisonneuve/20268042,96852.0,10019.0,1192.0,2026-02-21 07:14
